...1,text,gpt_out,out
296,"this one makes an s shape, and has a pointy black triangle pointing out mid way on the right side, yh triangle out only on the right side","an s shape, a pointy black triangle pointing out mid way on the right side, triangle out only on the right side","[-this one makes-]an s shape, [-and has-] a pointy black triangle pointing out mid way on the right side, [-yh-] triangle out only on the right side"
297,"this one looks like a zombie with the arms sticking to the left up and out and then the head is to the right tilted back, the legs are walking left, it looks like, like","a zombie with the arms sticking to the left up and out, the head is to the right tilted back, the legs are walking left","[-this one looks like-]a zombie with the arms sticking to the left up and [-out and then-] {+out,+} the head is to the right tilted back, the legs are walking [-left, it looks like, like-] {+left+}"
298,"this on looks the most smooth, with the least triangles sticking out, making a fat l shape with only a small flick at the bottom, the left side is flat, apart from some white cut outs above and below, the middle part of the left side is flat","the most smooth,least triangles sticking out,  a fat l shape with only a small flick at the bottom, the left side is flat, some white cut outs above and below, the middle part of the left side is flat","[-this on looks-]the most smooth, [-with the least triangles sticking out, making-] a fat l shape with only a small flick at the bottom, the left side is flat, [-apart from-] some white cut outs above and below, the middle part of the left side is flat"
299,this one looks like it has bunny ears,it has bunny ears,[-this one looks like-]it has bunny ears
300,"this is the one that looks like an s shape, with a head, triangles pointing to the right that look like hands","an s shape, a head, triangles pointing to the right that look like hands","[-this is the one that looks like-]an s shape, [-with-] a head, triangles pointing to the right that look like hands"
301,"this is a person in a sleeping bag with no arms or legs, with the head sticking out","a person in a sleeping bag with no arms or legs, with the head sticking out","[-this is-]a person in a sleeping bag with no arms or legs, with the head sticking out"
302,"this one looks like a high heel shoe, with a head that has short pigtails, Looks more like a rabbit head in a high heel shoe","a high heel shoe, a head that has short pigtails, a rabbit head in a high heel shoe","[-this one looks like-]a high heel shoe, [-with-] a head that has short pigtails, [-Looks more like-] a rabbit head in a high heel shoe"
303,This is the rabbit head with the flat bottom,the rabbit head with the flat bottom,[-This is-]the rabbit head with the flat bottom
304,"this is a person on one foot, with the other leg pointing to the right, triangles pointing to the left","a person on one foot, the other leg pointing to the right, triangles pointing to the left","[-this is-]a person on one foot, [-with-] the other leg pointing to the right, triangles pointing to the left"
305,"A person standing upright looking into a book, A square on the left, NA, the right is flat, and so is the bottom, Think of someone with a large sleeves on their robe","A person standing upright looking into a book, A square on the left, the right is flat, so is the bottom, Think of someone with large sleeves on their robe","A person standing upright looking into a book, A square on the left, [-NA,-] the right is flat, [-and-] so is the bottom, Think of someone with [-a-] large sleeves on their robe"
306,"The bottom right has a right angle, and there are triangles on the left and right, the right triangle is separated from the body, the left triangle is connected","The bottom right has a right angle, triangles on the left and right, the right triangle is separated from the body, the left triangle is connected","The bottom right has a right angle, [-and there are-] triangles on the left and right, the right triangle is separated from the body, the left triangle is connected"
307,"Right angle on the top left and bottom left, the left side has a segment taken out of it, it's the most square looking","Right angle on the top left and bottom left, the left side has a segment taken out of it, ""its the most square looking""","Right angle on the top left and bottom left, the left side has a segment taken out of it, [-it's-] {+""its+} the most square [-looking-] {+looking""+}"
308,This is the sad person sitting down,the sad person sitting down,[-This is-]the sad person sitting down
309,"this is the person kneeling, and praying, On their knees, yes to the right","the person kneeling, praying, On their knees, to the right","[-this is-]the person kneeling, [-and-] praying, On their knees, [-yes-] to the right"
310,The bird head one,The bird head one,The bird head one
311,"Body slanted to the left, and both hands in the air","Body slanted to the left, both hands in the air","Body slanted to the left, [-and-] both hands in the air"
312,on knees praying,on knees praying,on knees praying
313,robe hands reading book,"robe, hands, reading book","[-robe hands-]{+robe, hands,+} reading book"
314,bean bag cucumber,bean bag cucumber,bean bag cucumber
315,"looks like praying mantis, c Shape at right and left","praying mantis, c Shape at right and left","[-looks like-]praying mantis, c Shape at right and left"
316,most square one,most square one,most square one
317,bird head,bird head,bird head
318,"right triangle separated from body, left triangle connected","right triangle separated from body, left triangle connected","right triangle separated from body, left triangle connected"
319,bunny ears,bunny ears,bunny ears
320,sad guy seating on floor,sad guy seating on floor,sad guy seating on floor
321,"hands up in the air, leaning","hands up in the air, leaning","hands up in the air, leaning"
322,"praying but knees aren't on ground, s shape","praying but knees arent on ground, s shape","praying but knees [-aren't-] {+arent+} on ground, s shape"
323,yoga guy,yoga guy,yoga guy
324,guy with long sleeves and book,guy with long sleeves and book,guy with long sleeves and book
325,yoga dude,yoga dude,yoga dude
326,high heeled shoe with rabbit ears,high heeled shoe with rabbit ears,high heeled shoe with rabbit ears
327,square guy,square guy,square guy
328,sleeping bag cucumber,sleeping bag cucumber,sleeping bag cucumber
329,"s shape praying guy standing, hands to right","s shape praying guy standing, hands to right","s shape praying guy standing, hands to right"
330,sad sitting man,sad sitting man,sad sitting man
331,"disjointed triangle to the right, joined to the left","disjointed triangle to the right, joined to the left","disjointed triangle to the right, joined to the left"
332,bunny ears with flat bottom,bunny ears with flat bottom,bunny ears with flat bottom
333,guy waving his hands in the air,guy waving his hands in the air,guy waving his hands in the air
334,"praying but on knees,hands at right","praying but on knees, hands at right","praying but on [-knees,hands-] {+knees, hands+} at right"
335,bird face,bird face,bird face
336,s shape,s shape,s shape
337,"waving arms, NA",waving arms,"waving [-arms, NA-] {+arms+}"
338,sad guy,sad guy,sad guy
339,"right triangle not joined, left one joined","right triangle not joined, left one joined","right triangle not joined, left one joined"
340,yoga,yoga,yoga
341,"kneeling praying, arms to the right, praying","kneeling praying, arms to the right, praying","kneeling praying, arms to the right, praying"
342,zombie or bird head,zombie or bird head,zombie or bird head
343,"bunny ears, right angle on bottom left","bunny ears, right angle on bottom left","bunny ears, right angle on bottom left"
344,"most square, NA",most square,"most [-square, NA-] {+square+}"
345,"sleeping bag, cucumber","sleeping bag, cucumber","sleeping bag, cucumber"
346,"two c shapes, chanel","two c shapes, chanel","two c shapes, chanel"
347,"flat right side, person standing, reading book to the left, left","flat right side, person standing, reading book to the left","flat right side, person standing, reading book to the [-left,-] left"
348,bIRD HEAD,bird head,bIRD HEAD
349,disconnected triangle on right,disconnected triangle on right,disconnected triangle on right
350,sleeping bag,sleeping bag,sleeping bag
351,"Kneeling prayer, on their knees","Kneeling prayer, on their knees","Kneeling prayer, on their knees"
352,sitting man,sitting man,sitting man
353,long sleeved book,long sleeved book,long sleeved book
354,s shaped,s shaped,s shaped
355,most square,most square,most square
356,"leaning to the left, hands in the air","leaning to the left, hands in the air","leaning to the left, hands in the air"
357,flat bottom bunny head,flat bottom bunny head,flat bottom bunny head
358,yoga guy,yoga guy,yoga guy
359,rabbit head high heel shoe,"rabbit head, high heel shoe","rabbit [-head-] {+head,+} high heel shoe"
360,"Someone sitting down crossed legs with a square hat, yes it is, they are sitting crossed legs or maybe kneeling","Someone sitting down crossed legs with a square hat, they are sitting crossed legs or maybe kneeling","Someone sitting down crossed legs with a square hat, [-yes it is,-] they are sitting crossed legs or maybe kneeling"
361,"he has his hands up almost doing the thriller dance with his head almost falling off behind him, he looks like he could be falling backwards, one foot planted with the other in the air","his hands up almost doing the thriller dance, his head almost falling off behind him, he could be falling backwards, one foot planted with the other in the air","[-he has-]his hands up almost doing the thriller [-dance with-] {+dance,+} his head almost falling off behind him, he looks like he could be falling backwards, one foot planted with the other in the air"
362,"he looks like superman flying away with his cape behind him touching the floor, his hands are the same shape as his one foot that is on show, if you rotated the picture it would look a bit like a fox, with a big bushy tail","superman flying away with his cape behind him touching the floor, his hands are the same shape as his one foot that is on show, if you rotated the picture it would look a bit like a fox, with a big bushy tail","[-he looks like-]superman flying away with his cape behind him touching the floor, his hands are the same shape as his one foot that is on show, if you rotated the picture it would look a bit like a fox, with a big bushy tail"
363,it looks like a fat man sticking his arm out for a bus,a fat man sticking his arm out for a bus,[-it looks like-]a fat man sticking his arm out for a bus
364,"the head is on a flat surface, with a triangle stuck to the side of the head, the head and neck looks a bit like a pacman mouth","the head is on a flat surface, with a triangle stuck to the side of the head, the head and neck looks a bit like a pacman mouth","the head is on a flat surface, with a triangle stuck to the side of the head, the head and neck looks a bit like a pacman mouth"
365,"a man leaning forward with his leg behind him, two triangle arms facing forward, sanding on 1 leg","a man leaning forward with his leg behind him, two triangle arms facing forward, sanding on 1 leg","a man leaning forward with his leg behind him, two triangle arms facing forward, sanding on 1 leg"
366,"it looks like someone holding a pot, he has only has one foot on show and it's on the left side, as is the pot he's holding, the right side of his body is flat","someone holding a pot, he has only has one foot on show and it\s on the left side, as is the pot he\s holding, the right side of his body is flat","[-it looks like-]someone holding a pot, he has only has one foot on show and [-it's-] {+it\s+} on the left side, as is the pot [-he's-] {+he\s+} holding, the right side of his body is flat"
367,"it looks like a graph with a head and two triangles sticking out of it, it could be with the two ears on top","a graph with a head and two triangles sticking out of it, with the two ears on top","[-it looks like-]a graph with a head and two triangles sticking out of it, [-it could be-] with the two ears on top"
368,"rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs","rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs","rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs"
369,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square","someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square","someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square"
370,"someone sitting down, body like a sack of potatoes and the knees raised","someone sitting down, body like a sack of potatoes, knees raised","someone sitting down, body like a sack of [-potatoes and the-] {+potatoes,+} knees raised"
371,"someone sitting down, no legs visible but the skirt flicks up on the left side, arm pointing out at the right side, under the head on the left side she has a triangle","someone sitting down, no legs visible but the skirt flicks up on the left side, arm pointing out at the right side, under the head on the left side she has a triangle","someone sitting down, no legs visible but the skirt flicks up on the left side, arm pointing out at the right side, under the head on the left side she has a triangle"
372,"looks like a man sitting down, legs extended on the left side, shoulders hunched on the right, knees and feet sticking out on the left","a man sitting down, legs extended on the left side, shoulders hunched on the right, knees and feet sticking out on the left","[-looks like-]a man sitting down, legs extended on the left side, shoulders hunched on the right, knees and feet sticking out on the left"
373,"man kneeling, arms form a triangle on the right side, knees bent and form a triangles pointing right, diamond head, knees and legs form a rectangle","man kneeling, arms form a triangle on the right side, knees bent and form a triangles pointing right, diamond head, knees and legs form a rectangle","man kneeling, arms form a triangle on the right side, knees bent and form a triangles pointing right, diamond head, knees and legs form a rectangle"
374,"man standing on one leg, both hands pointing left, hands form two triangles on the left, second leg is up in the air on the right","man standing on one leg, both hands pointing left, hands form two triangles on the left, second leg is up in the air on the right","man standing on one leg, both hands pointing left, hands form two triangles on the left, second leg is up in the air on the right"
375,"man kneeling with hands together on left forming a triangle, head looking up facing left, triangle hat on back of head near neck area, feet extend out on left side, no bunny ears, just one triangle hat on right side of head","man kneeling with hands together on left forming a triangle, head looking up facing left, triangle hat on back of head near neck area, feet extend out on left side, no bunny ears, just one triangle hat on right side of head","man kneeling with hands together on left forming a triangle, head looking up facing left, triangle hat on back of head near neck area, feet extend out on left side, no bunny ears, just one triangle hat on right side of head"
376,"man sitting or kneeling, no hands or feet visible, looks like a potato body, no hat, knees pointing right, diamond head, yes slanted shoulders","man sitting or kneeling, no hands or feet visible, a potato body, no hat, knees pointing right, diamond head,  slanted shoulders","man sitting or kneeling, no hands or feet visible, looks like a potato body, no hat, knees pointing right, diamond head, [-yes-]  slanted shoulders"
377,"man holding a pot facing left, feet pointing left, diamond head","man holding a pot facing left, feet pointing left, diamond head","man holding a pot facing left, feet pointing left, diamond head"
378,"man doing a zombie dance, hands facing left, head on right side behind hands","man doing a zombie dance, hands facing left, head on right side behind hands","man doing a zombie dance, hands facing left, head on right side behind hands"
379,"man sitting down cross legged, head facing downward right side, bunny ears, his body forms a triangle","man sitting down cross legged, head facing downward right side, bunny ears, his body forms a triangle","man sitting down cross legged, head facing downward right side, bunny ears, his body forms a triangle"
380,"man facing right, kneeling with hands extended on right, knees pointing right, diamond head, triangle extending on left side, and tail on left yeah","man facing right, kneeling with hands extended on right, knees pointing right, diamond head, triangle extending on left side, tail on left","man facing right, kneeling with hands extended on right, knees pointing right, diamond head, triangle extending on left side, [-and-] tail on left [-yeah-]"
381,"man doing a ninja pose, both hands on right side, far apart, one up one down, legs pointing left, legs together form a rectangle, head facing left as well, possibly cape on left side yeah, flat on bottom, no, left side has rectangle extending on the bottom","man doing a ninja pose, both hands on right side, far apart, one up one down, legs pointing left, legs together form a rectangle, head facing left as well, possibly cape on left side, flat on bottom, left side has rectangle extending on the bottom","man doing a ninja pose, both hands on right side, far apart, one up one down, legs pointing left, legs together form a rectangle, head facing left as well, possibly cape on left [-side yeah,-] {+side,+} flat on bottom, [-no,-] left side has rectangle extending on the bottom"
382,"man standing with arms extended on right, left and bottom sides flat, feet sticking out on right side","man standing with arms extended on right, left and bottom sides flat, feet sticking out on right side","man standing with arms extended on right, left and bottom sides flat, feet sticking out on right side"
383,"looks like a flying ghost, arms extended on either side of head facing up, no legs","a flying ghost, arms extended on either side of head facing up, no legs","[-looks like-]a flying ghost, arms extended on either side of head facing up, no legs"
384,"Flat side and bottom guy, one foot and one hand point right, Diamond head, One foot points right no left foot showing, Flat shoulders, Looks like a fat guy calling a bus","Flat side and bottom guy, one foot and one hand point right, Diamond head, One foot points right no left foot showing, Flat shoulders, a fat guy calling a bus","Flat side and bottom guy, one foot and one hand point right, Diamond head, One foot points right no left foot showing, Flat shoulders, Looks like a fat guy calling a bus"
385,"Kneeling person, diamond head on sloping shoulders, kneeling pointing right, Yes one triangular arm pointing right, Trainglenbit feet points left at the bottom","Kneeling person, diamond head on sloping shoulders, kneeling pointing right, one triangular arm pointing right, Triangle bit feet points left at the bottom","Kneeling person, diamond head on sloping shoulders, kneeling pointing right, [-Yes-] one triangular arm pointing right, Trainglenbit feet points left at the bottom"
386,"Looks like a mouse's head with two ears, one square one triangle","a mouse's head with two ears, one square one triangle","[-Looks like-]a [-mouse's-] {+mouse\s+} head with two ears, one square one triangle"
387,"Women in ad, A dress, Head points right, one arm points right","Women in ad, A dress, Head points right, one arm points right","Women in ad, A dress, Head points right, one arm points right"
388,"Man standing on one leg, other points right, arms point left, diamond head, NA, Two visible, look like triangles, Looks like he's leaning forward to the left","Man standing on one leg, other points right, arms point left, diamond head, Two visible,  triangles, he's leaning forward to the left","Man standing on one leg, other points right, arms point left, diamond head, [-NA,-] Two visible, look like triangles, [-Looks-] {+""Looks+} like he's leaning forward to the [-left-] {+left""+}"
389,"Zombie thriller dance man, Two legs showing,, He's walking left","Zombie thriller dance man, Two legs showing, ""Hes walking left""","Zombie thriller dance man, Two legs [-showing,, He's-] {+showing, ""Hes+} walking [-left-] {+left""+}"
390,"Person kneeling, diamond head, sloping shoulders, no legs or arms visible,","Person kneeling, diamond head, sloping shoulders, no legs or arms visible","Person kneeling, diamond head, sloping shoulders, no legs or arms [-visible,-] {+visible+}"
391,"Man holding pot, foot points left, right side flat, #holding","Man holding pot, foot points left, right side flat","Man holding pot, foot points left, right side [-flat, #holding-] {+flat+}"
392,"Ghost guy, no legs, two arms raised as if to say wtf, One hand square, one hand looks triangular","Ghost guy, no legs, two arms raised as if to say wtf, One hand square, one hand looks triangular","Ghost guy, no legs, two arms raised as if to say wtf, One hand square, one hand looks triangular"
393,"Man sitting against wall, he looks and points left, diamond head, neck,shoulders slope, you can see one leg, knee etc, Leg, foot etc points left, No arms visible","Man sitting against wall, he looks and points left, diamond head, neck, shoulders slope, you can see one leg, knee etc, Leg, foot etc points left, No arms visible","Man sitting against wall, he looks and points left, diamond head, [-neck,shoulders-] {+neck, shoulders+} slope, you can see one leg, knee etc, Leg, foot etc points left, No arms visible"
394,"Graph guy, flat bottom and left side, Looks like a man with bunny ears","Graph guy, flat bottom and left side, Looks like a man with bunny ears","Graph guy, flat bottom and left side, Looks like a man with bunny ears"
395,"Women kneeling, bent at knee, diamond head, sloped shoulders, one arm visible pointing right, she looks right, Zigzag leg lady, Looks like shes holding antray, Holding a tray, Arm, knee points right","Women kneeling, bent at knee, diamond head, sloped shoulders, one arm visible pointing right, she looks right, Zigzag leg lady, Holding a tray, Arm, knee points right","Women kneeling, bent at knee, diamond head, sloped shoulders, one arm visible pointing right, she looks right, Zigzag leg lady, Looks like [-shes-] {+she's+} holding antray, Holding a tray, Arm, knee points right"
396,"person kneeling with a triangle arm all pointing right, tail sticking out left, looks like a mermaid kneeling","person kneeling with a triangle arm all pointing right, tail sticking out left, a mermaid kneeling","person kneeling with a triangle arm all pointing right, tail sticking out left, looks like a mermaid kneeling"
397,"person running to the right, looks like they are dragging a big swollen leg behind them","person running to the right, dragging a big swollen leg behind them","person running to the right, [-looks like they are-] dragging a big swollen leg behind them"
398,"guy doing the thriller dance, one leg in the air, facing left","guy doing the thriller dance, one leg in the air, facing left","guy doing the thriller dance, one leg in the air, facing left"
399,"sad guy sitting down, facing left, no arms visible","sad guy sitting down, facing left, no arms visible","sad guy sitting down, facing left, no arms visible"
400,"looks like a mouse with one square ear and one triangle one, nose looking to the upper left","a mouse with one square ear and one triangle one, nose looking to the upper left","[-looks like-]a mouse with one square ear and one triangle one, nose looking to the upper left"
401,"man with no legs shrugging, doing the Y from YMCA","man with no legs shrugging, doing the Y from YMCA","man with no legs shrugging, doing the Y from YMCA"
402,"zigzag lady, kneeling to the right, holding a bowl, knees pointing out but not touching the ground","zigzag lady, kneeling to the right, holding a bowl, knees pointing out but not touching the ground","zigzag lady, kneeling to the right, holding a bowl, knees pointing out but not touching the ground"
403,"man holding a pot, facing left, one foot pointing left, right side is entirely flat","man holding a pot, facing left, one foot pointing left, right side is entirely flat","man holding a pot, facing left, one foot pointing left, right side is entirely flat"
404,"guy on one leg, doing ballet pose, two arms pointing left, looks like stacked triangles","guy on one leg, doing ballet pose, two arms pointing left, stacked triangles","guy on one leg, doing ballet pose, two arms pointing left, looks like stacked triangles"
405,"fat man hailing a taxi, flat on the left side, one foot","fat man hailing a taxi, flat on the left side, one foot","fat man hailing a taxi, flat on the left side, one foot"
406,"man kneeling with no arms or feet visible, facing right, one knee pointing right, looks like a potato with a head","man kneeling with no arms or feet visible, facing right, one knee pointing right, a potato with a head","man kneeling with no arms or feet visible, facing right, one knee pointing right, looks like a potato with a head"
407,"sitting guy with rabbit ears, graph guy, bunny mountain","sitting guy with rabbit ears, graph guy, bunny mountain","sitting guy with rabbit ears, graph guy, bunny mountain"
408,"sitting against the wall, turtle body","sitting against the wall, turtle body","sitting against the wall, turtle body"
409,"zig zag lady with arms pointing right, flat back, no tail","zig zag lady with arms pointing right, flat back, no tail","zig zag lady with arms pointing right, flat back, no tail"
410,"man falling forward, 1 leg pointing right and the only planted on the floor, falling left, two arms out on the left","man falling forward, 1 leg pointing right, only planted on the floor, falling left, two arms out on the left","man falling forward, 1 leg pointing [-right and the-] {+right,+} only planted on the floor, falling left, two arms out on the left"
411,"wacky inflatable guy, rectangle body no feet, square hand and a triangle hand","wacky inflatable guy, rectangle body no feet, square hand, triangle hand","wacky inflatable guy, rectangle body no feet, square [-hand and a-] {+hand,+} triangle hand"
412,bunny ears sat on a graph,bunny ears sat on a graph,bunny ears sat on a graph
413,fat guy waiting for a bus,fat guy waiting for a bus,fat guy waiting for a bus
414,potato body with only a knee sticking out on the right,potato body with only a knee sticking out on the right,potato body with only a knee sticking out on the right
415,"someone going right with a cape behind them, triangle hand and foot going right, little triangle under the head","someone going right with a cape behind them, triangle hand and foot going right, little triangle under the head","someone going right with a cape behind them, triangle hand and foot going right, little triangle under the head"
416,"thriller dance, going left, one foot planted and the other raised","thriller dance, going left, one foot planted and the other raised","thriller dance, going left, one foot planted and the other raised"
417,"square head with a triangle hanging off it, triangle hanging to the right, head is on a flat surface","square head with a triangle hanging off it, triangle hanging to the right, head is on a flat surface","square head with a triangle hanging off it, triangle hanging to the right, head is on a flat surface"
418,"woman facing right with a tail on the left, arm and knees facing right","woman facing right with a tail on the left, arm and knees facing right","woman facing right with a tail on the left, arm and knees facing right"
419,man stood with a pot facing left,man stood with a pot facing left,man stood with a pot facing left
420,"bunny ears, left and bottom flat","bunny ears, left and bottom flat","bunny ears, left and bottom flat"
421,"potato body, diamond head, knee on left side","potato body, diamond head, knee on left side","potato body, diamond head, knee on left side"
422,man sitting with turtle body,man sitting with turtle body,man sitting with turtle body
423,"flying man with cape on right, up and down on right arms","flying man with cape on right, up and down on right arms","flying man with cape on right, up and down on right arms"
424,"man standing on one foot, hands in two triangles on left","man standing on one foot, hands in two triangles on left","man standing on one foot, hands in two triangles on left"
425,"woman with tail on left, hands and knees facing right","woman with tail on left, hands and knees facing right","woman with tail on left, hands and knees facing right"
426,mouse head,mouse head,mouse head
427,man holding pot facing left,man holding pot facing left,man holding pot facing left
428,"man facing right, hands in triangle knees together facing right, zigzag","man facing right, hands in triangle, knees together facing right, zigzag","man facing right, hands in [-triangle-] {+triangle,+} knees together facing right, zigzag"
429,"ghost man with arms up, no legs","ghost man with arms up, no legs","ghost man with arms up, no legs"
430,thriller zombie guy,thriller zombie guy,thriller zombie guy
431,fat man hailing cab,fat man hailing cab,fat man hailing cab
432,"this one has a diamond on top, with a flat horizontal line directly under it","a diamond on top, a flat horizontal line directly under it","[-this one has-]a diamond on top, [-with-] a flat horizontal line directly under it"
433,this one almost looks like it's kneeling with hands outstretched,its kneeling with hands outstretched,[-this one almost looks like it's-]{+its+} kneeling with hands outstretched
434,"this one has one foot in the air like it's walking, and one foot planted firmly on the ground, with a diamond on the right side","one foot in the air like it's walking, one foot planted firmly on the ground, diamond on the right side","[-this one has-]one foot in the air like [-it's-] {+it\s+} walking, [-and-] one foot planted firmly on the ground, [-with a-] diamond on the right side"
435,"this one also looks like it's kneeling with hands outstretched to the right, but the knees are up in the air a little, and the back is flat","it's kneeling with hands outstretched to the right, the knees are up in the air a little, the back is flat","[-this one also looks like it's-]{+it\s+} kneeling with hands outstretched to the right, [-but-] the knees are up in the air a little, [-and-] the back is flat"
436,almost looks like someone slipped and is falling backward with hands in the air,someone slipped and is falling backward with hands in the air,[-almost looks like-]someone slipped and is falling backward with hands in the air
437,"looks like they're sitting down with knees up, facing left","they're sitting down with knees up, facing left","[-looks like they're-]{+they\re+} sitting down with knees up, facing left"
438,"this one you can't really see the feet, hard to tell if they're sitting or what, right i think, and nothing on top of the head, no hat","you can't really see the feet, hard to tell if they're sitting or what, nothing on top of the head, no hat","[-this one-]you can't really see the feet, hard to tell if they're sitting or what, [-right i think, and-] nothing on top of the head, no hat"
439,"standing on one leg with the other leg high in the air, facing left, hands outstretched to the left, the leg in the air is on the right","standing on one leg with the other leg high in the air, facing left, hands outstretched to the left, the leg in the air is on the right","standing on one leg with the other leg high in the air, facing left, hands outstretched to the left, the leg in the air is on the right"
440,"i guess this one is standing, facing left, with hand outstretched to the left","standing, facing left, with hand outstretched to the left","[-i guess this one is-]standing, facing left, with hand outstretched to the left"
441,"sitting down, facing right, with the hat thing on its head","sitting down, facing right, with the hat thing on its head","sitting down, facing right, with the hat thing on its head"
442,"i don't know what this one is foot on the left, and there's a triangle coming off the head on the right side, i guess one hand on the left, there's not really a right foot visible, i'm not sure if that's the arm up by the head","foot on the left, triangle coming off the head on the right side, one hand on the left, ""not really a right foot visible"", ""arm up by the head""","[-i don't know what this one is-]foot on the left, [-and there's a-] triangle coming off the head on the right side, [-i guess-] one hand on the left, [-there's not-] {+""not+} really a right foot [-visible, i'm not sure if that's the arm-] {+visible"", ""arm+} up by the [-head-] {+head""+}"
443,"this looks like its striking a pose or something, on foot outstretched behind him and the other close in front, facing right, one hand kind of up in the air by the head, head tilted back to the left","striking a pose, one foot outstretched behind him, the other foot close in front, facing right, one hand kind of up in the air by the head, head tilted back to the left","[-this looks like its-]striking a [-pose or something, on-] {+pose, one+} foot outstretched behind [-him and-] {+him,+} the other {+foot+} close in front, facing right, one hand kind of up in the air by the head, head tilted back to the left"
444,"Ok, this is the one who's sitting down, facing left, knees up","sitting down, facing left, knees up","[-Ok, this is the one who's-]sitting down, facing left, knees up"
445,"Left facing, arms high, one leg out behind them Like they're ice skating, NA","Left facing, arms high, one leg out behind them, ice skating","Left facing, arms high, one leg out behind [-them Like-] {+them, ""Like+} they're ice [-skating, NA-] {+skating""+}"
446,Left facing Arms and hands out as though begging,Left facing Arms and hands out as though begging,Left facing Arms and hands out as though begging
447,The crazy hat person lol,The crazy hat person,The crazy hat person [-lol-]
448,"Right facing, knees bent but not fully kneeling Arms out in front Maybe like they're skiing","Right facing, knees bent but not fully kneeling, Arms out in front, Maybe like they're skiing","Right facing, knees bent but not fully [-kneeling-] {+kneeling,+} Arms out in [-front-] {+front,+} Maybe like they're skiing"
449,Zombie person,Zombie person,Zombie person
450,"One of the more awkward shapes Head is in the center top Looks like a square body on the left, but had a pointy arm thing on the top right, and a sort of foot on the bottom right too","One of the more awkward shapes, Head is in the center top,  a square body on the left, had a pointy arm thing on the top right, a sort of foot on the bottom right too","[-One of the more awkward shapes-]Head is in the center [-top-] {+top,+} Looks like a square body on the left, [-but-] had a pointy arm thing on the top right, [-and-] a sort of foot on the bottom right too"
451,"Right facing Looking like they're begging with maybe a hoodie on Knees bent, Arms out in front","Right facing,  begging with maybe a hoodie on, Knees bent, Arms out in front","Right [-facing-] {+facing,+} Looking like [-they're-] {+they\re+} begging with maybe a hoodie [-on-] {+on,+} Knees bent, Arms out in front"
452,"This is the one who's slipping over, Falling backwards Arms in the air","slipping over, Falling backwards, Arms in the air","[-This is the one who's-]slipping over, Falling [-backwards-] {+backwards,+} Arms in the air"
453,"Awkward one this Head is off center slightly, Foot leg sticking out at the left, two triangles below the head, Maybe kneeling","Awkward one, Head is off center slightly, Foot leg sticking out at the left, two triangles below the head, Maybe kneeling","[-Awkward one this-]Head is off center slightly, Foot leg sticking out at the left, two triangles below the head, Maybe kneeling"
454,"The one who looks like they're striking a pose Big thick leg sticking out behind them to the left Head tilted back, to the left","striking a pose, Big thick leg sticking out behind them to the left, Head tilted back, to the left","The one who looks like they're striking a [-pose-] {+pose,+} Big thick leg sticking out behind them to the [-left-] {+left,+} Head tilted back, to the left"
455,No arms or legs visible Maybe sitting or leaning up against something,"No arms or legs visible, Maybe sitting or leaning up against something","No arms or legs [-visible-] {+visible,+} Maybe sitting or leaning up against something"
456,"facing left, knees up","facing left, knees up","facing left, knees up"
457,the one that's falling backwards, falling backwards,the one [-that's-] {+thats+} falling backwards
458,the one striking a pose, striking a pose,the one striking a pose
459,weird hat one,weird hat one,weird hat one
460,"facing right, hands outstretched, looks like its kneeling, feet kind of in the air on the left","facing right, hands outstretched, its kneeling, feet kind of in the air on the left","facing right, hands outstretched, looks like its kneeling, feet kind of in the air on the left"
461,"facing left, hands out like its begging, standing up, can see the feet on the left","facing left, hands out like its begging, standing up, can see the feet on the left","facing left, hands out like its begging, standing up, can see the feet on the left"
462,"kneeling with arms stretched out, facing left, can see the foot on the left","kneeling with arms stretched out, facing left, can see the foot on the left","kneeling with arms stretched out, facing left, can see the foot on the left"
463,"this one's kneeling but not completely, arms stretched out, facing right, kind of looks like its skiing","kneeling but not completely, arms stretched out, facing right,  skiing","[-this one's-]kneeling but not completely, arms stretched out, facing right, kind of looks like its skiing"
464,"this one is facing left, one foot in the air, looks like its skating","facing left, one foot in the air, skating","[-this one is-]facing left, one foot in the air, looks like its skating"
465,zombie one,zombie one,zombie one
466,"horizontal line below the head, can see a hand a foot on the right side i guess, left side of body is a straight line","horizontal line below the head, can see a hand a foot on the right side, left side of body is a straight line","horizontal line below the head, can see a hand a foot on the right [-side i guess,-] {+side,+} left side of body is a straight line"
467,the one with no arms,the one with no arms,the one with no arms
468,the one skating facing left,the one skating facing left,the one skating facing left
469,the one pointing right looking like its skiing,"the one pointing right, skiing",the one pointing right looking like its skiing
470,the zombie,the zombie,the zombie
471,funny hat one,funny hat,funny hat [-one-]
472,the diamond on the hill,the diamond on the hill,the diamond on the hill
473,"the one facing left, with his arms out","the one facing left, with his arms out","the one facing left, with his arms out"
